side,side,eta,phi,sector,TwinMux,TwinMux_link,TwinMux_bit,ring,BLANK
1,1,8,4,1,YB+1_S1,7,35,1,BLANK
-1,-1,9,4,1,YB-1_S1,7,32,-1,BLANK
1,1,9,4,1,YB+1_S1,7,32,1,BLANK
-1,-1,10,4,1,YB-1_S1,7,29,-1,BLANK
1,1,10,4,1,YB+1_S1,7,29,1,BLANK
-1,-1,11,4,1,YB-2_S1,6,12,-2,BLANK
1,1,11,4,1,YB+2_S1,6,12,2,BLANK
-1,-1,12,4,1,YB-2_S1,6,9,-2,BLANK
1,1,12,4,1,YB+2_S1,6,9,2,BLANK
-1,-1,13,4,1,YB-2_S1,6,6,-2,BLANK
1,1,13,4,1,YB+2_S1,6,6,2,BLANK
-1,-1,14,4,1,YB-2_S1,6,3,-2,BLANK
1,1,14,4,1,YB+2_S1,6,3,2,BLANK
-1,-1,15,4,1,YB-2_S1,6,0,-2,BLANK
1,1,15,4,1,YB+2_S1,6,0,2,BLANK
-1,-1,1,5,2,YB0_S2,7,51,0,BLANK
1,1,1,5,2,YB0_S2,6,22,0,BLANK
-1,-1,2,5,2,YB0_S2,6,23,0,BLANK
1,1,2,5,2,YB0_S2,6,17,0,BLANK
-1,-1,3,5,2,YB0_S2,7,52,0,BLANK
1,1,3,5,2,YB0_S2,6,16,0,BLANK
-1,-1,4,5,2,YB0_S2,7,50,0,BLANK
1,1,4,5,2,YB0_S2,7,33,0,BLANK
-1,-1,5,5,2,YB-1_S2,6,15,-1,BLANK
1,1,5,5,2,YB+1_S2,6,15,1,BLANK
-1,-1,6,5,2,YB-1_S2,6,12,-1,BLANK
1,1,6,5,2,YB+1_S2,6,12,1,BLANK
-1,-1,7,5,2,YB-1_S2,6,9,-1,BLANK
1,1,7,5,2,YB+1_S2,6,9,1,BLANK
-1,-1,8,5,2,YB-1_S2,7,44,-1,BLANK
1,1,8,5,2,YB+1_S2,7,44,1,BLANK
-1,-1,9,5,2,YB-1_S2,7,41,-1,BLANK
1,1,9,5,2,YB+1_S2,7,41,1,BLANK
-1,-1,10,5,2,YB-1_S2,7,38,-1,BLANK
1,1,10,5,2,YB+1_S2,7,38,1,BLANK
-1,-1,11,5,2,YB-2_S2,7,41,-2,BLANK
1,1,11,5,2,YB+2_S2,7,41,2,BLANK
-1,-1,12,5,2,YB-2_S2,7,38,-2,BLANK
1,1,12,5,2,YB+2_S2,7,38,2,BLANK
-1,-1,13,5,2,YB-2_S2,7,35,-2,BLANK
1,1,13,5,2,YB+2_S2,7,35,2,BLANK
-1,-1,14,5,2,YB-2_S2,7,32,-2,BLANK
1,1,14,5,2,YB+2_S2,7,32,2,BLANK
-1,-1,15,5,2,YB-2_S2,7,29,-2,BLANK
1,1,15,5,2,YB+2_S2,7,29,2,BLANK
-1,-1,1,6,2,YB0_S2,7,48,0,BLANK
1,1,1,6,2,YB0_S2,6,19,0,BLANK
-1,-1,2,6,2,YB0_S2,6,20,0,BLANK
1,1,2,6,2,YB0_S2,6,21,0,BLANK
-1,-1,3,6,2,YB0_S2,7,49,0,BLANK
1,1,3,6,2,YB0_S2,6,18,0,BLANK
-1,-1,4,6,2,YB0_S2,7,47,0,BLANK
1,1,4,6,2,YB0_S2,7,34,0,BLANK
-1,-1,5,6,2,YB-1_S2,6,16,-1,BLANK
1,1,5,6,2,YB+1_S2,6,16,1,BLANK
-1,-1,6,6,2,YB-1_S2,6,13,-1,BLANK
1,1,6,6,2,YB+1_S2,6,13,1,BLANK
-1,-1,7,6,2,YB-1_S2,6,10,-1,BLANK
1,1,7,6,2,YB+1_S2,6,10,1,BLANK
-1,-1,8,6,2,YB-1_S2,7,45,-1,BLANK
1,1,8,6,2,YB+1_S2,7,45,1,BLANK
-1,-1,9,6,2,YB-1_S2,7,42,-1,BLANK
1,1,9,6,2,YB+1_S2,7,42,1,BLANK
-1,-1,10,6,2,YB-1_S2,7,39,-1,BLANK
1,1,10,6,2,YB+1_S2,7,39,1,BLANK
-1,-1,11,6,2,YB-2_S2,7,42,-2,BLANK
1,1,11,6,2,YB+2_S2,7,42,2,BLANK
-1,-1,12,6,2,YB-2_S2,7,39,-2,BLANK
1,1,12,6,2,YB+2_S2,7,39,2,BLANK
-1,-1,13,6,2,YB-2_S2,7,36,-2,BLANK
1,1,13,6,2,YB+2_S2,7,36,2,BLANK
-1,-1,14,6,2,YB-2_S2,7,33,-2,BLANK
1,1,14,6,2,YB+2_S2,7,33,2,BLANK
-1,-1,15,6,2,YB-2_S2,7,30,-2,BLANK
1,1,15,6,2,YB+2_S2,7,30,2,BLANK
-1,-1,1,7,2,YB0_S2,7,45,0,BLANK
1,1,1,7,2,YB0_S2,6,14,0,BLANK
-1,-1,2,7,2,YB0_S2,6,15,0,BLANK
1,1,2,7,2,YB0_S2,6,9,0,BLANK
-1,-1,3,7,2,YB0_S2,7,46,0,BLANK
1,1,3,7,2,YB0_S2,6,8,0,BLANK
-1,-1,4,7,2,YB0_S2,7,44,0,BLANK
1,1,4,7,2,YB0_S2,7,31,0,BLANK
-1,-1,5,7,2,YB-1_S2,6,17,-1,BLANK
1,1,5,7,2,YB+1_S2,6,17,1,BLANK
-1,-1,6,7,2,YB-1_S2,6,14,-1,BLANK
1,1,6,7,2,YB+1_S2,6,14,1,BLANK
-1,-1,7,7,2,YB-1_S2,6,11,-1,BLANK
1,1,7,7,2,YB+1_S2,6,11,1,BLANK
-1,-1,8,7,2,YB-1_S2,7,46,-1,BLANK
1,1,8,7,2,YB+1_S2,7,46,1,BLANK
-1,-1,9,7,2,YB-1_S2,7,43,-1,BLANK
1,1,9,7,2,YB+1_S2,7,43,1,BLANK
-1,-1,10,7,2,YB-1_S2,7,40,-1,BLANK
1,1,10,7,2,YB+1_S2,7,40,1,BLANK
-1,-1,11,7,2,YB-2_S2,7,43,-2,BLANK
1,1,11,7,2,YB+2_S2,7,43,2,BLANK
-1,-1,12,7,2,YB-2_S2,7,40,-2,BLANK
1,1,12,7,2,YB+2_S2,7,40,2,BLANK
-1,-1,13,7,2,YB-2_S2,7,37,-2,BLANK
1,1,13,7,2,YB+2_S2,7,37,2,BLANK
-1,-1,14,7,2,YB-2_S2,7,34,-2,BLANK
1,1,14,7,2,YB+2_S2,7,34,2,BLANK
-1,-1,15,7,2,YB-2_S2,7,31,-2,BLANK
1,1,15,7,2,YB+2_S2,7,31,2,BLANK
-1,-1,1,8,2,YB0_S2,7,42,0,BLANK
1,1,1,8,2,YB0_S2,6,12,0,BLANK
-1,-1,2,8,2,YB0_S2,6,13,0,BLANK
1,1,2,8,2,YB0_S2,6,11,0,BLANK
-1,-1,3,8,2,YB0_S2,7,43,0,BLANK
1,1,3,8,2,YB0_S2,6,10,0,BLANK
-1,-1,4,8,2,YB0_S2,7,41,0,BLANK
1,1,4,8,2,YB0_S2,7,32,0,BLANK
