sides,ring,sector,bigphi,phi,eta,LUT,bit
-1,-2,4,-,-,-,-,-1
-1,-2,4,-,-,-,-,-1
-1,-2,4,19,2,15,0x200,31
-1,-2,4,19,2,14,0x203,34
-1,-2,4,19,2,13,0x206,37
-1,-2,4,19,2,12,0x21C,40
-1,-2,4,19,2,11,0x270,43
-1,-2,4,-,-,-,-,-1
-1,-2,4,-,-,-,-,-1
-1,-2,4,-,-,-,-,-1
-1,-2,4,20,3,15,0x300,0
-1,-2,4,20,3,14,0x303,3
-1,-2,4,20,3,13,0x306,6
-1,-2,4,20,3,12,0x31C,9
-1,-2,4,20,3,11,0x370,12
-1,-2,4,-,-,-,-,-1
-1,-2,4,-,-,-,-,-1
-1,-2,4,-,-,-,-,-1
-1,-2,4,21,4,15,0x400,1
-1,-2,4,21,4,14,0x403,4
-1,-2,4,21,4,13,0x406,7
-1,-2,4,21,4,12,0x41C,10
-1,-2,4,21,4,11,0x470,13
-1,-2,4,-,-,-,-,-1
-1,-2,4,-,-,-,-,-1
-1,-2,4,-,-,-,-,-1
-1,-2,4,22,5,15,0x500,2
-1,-2,4,22,5,14,0x503,5
-1,-2,4,22,5,13,0x506,8
-1,-2,4,22,5,12,0x51C,11
-1,-2,4,22,5,11,0x570,14
-1,-2,4,-,-,-,-,-1
-1,-2,4,-,-,-,-,-1
-1,-2,4,-,-,-,-,-1
,,,,,,,,,,,,,
-1,-2,5,23,0,15,0x000,31
-1,-2,5,23,0,14,0x003,34
-1,-2,5,23,0,13,0x006,37
-1,-2,5,23,0,12,0x01C,40
-1,-2,5,23,0,11,0x070,43
-1,-2,5,-,-,-,-,-1
-1,-2,5,-,-,-,-,-1
-1,-2,5,-,-,-,-,-1
-1,-2,5,24,1,15,0x100,30
-1,-2,5,24,1,14,0x103,33
-1,-2,5,24,1,13,0x106,36
-1,-2,5,24,1,12,0x11C,39
-1,-2,5,24,1,11,0x170,42
-1,-2,5,-,-,-,-,-1
-1,-2,5,-,-,-,-,-1
-1,-2,5,-,-,-,-,-1
-1,-2,5,25,2,15,0x200,29
-1,-2,5,25,2,14,0x203,32
-1,-2,5,25,2,13,0x206,35
-1,-2,5,25,2,12,0x21C,38
-1,-2,5,25,2,11,0x270,41
-1,-2,5,-,-,-,-,-1
-1,-2,5,-,-,-,-,-1
-1,-2,5,-,-,-,-,-1
-1,-2,5,26,3,15,0x300,2
-1,-2,5,26,3,14,0x303,5
-1,-2,5,26,3,13,0x306,8
-1,-2,5,26,3,12,0x31C,11
-1,-2,5,26,3,11,0x370,14
-1,-2,5,-,-,-,-,-1
-1,-2,5,-,-,-,-,-1
-1,-2,5,-,-,-,-,-1
-1,-2,5,27,4,15,0x400,1
-1,-2,5,27,4,14,0x403,4
-1,-2,5,27,4,13,0x406,7
-1,-2,5,27,4,12,0x41C,10
-1,-2,5,27,4,11,0x470,13
-1,-2,5,-,-,-,-,-1
-1,-2,5,-,-,-,-,-1
-1,-2,5,-,-,-,-,-1
-1,-2,5,28,5,15,0x500,0
-1,-2,5,28,5,14,0x503,3
-1,-2,5,28,5,13,0x506,6
-1,-2,5,28,5,12,0x51C,9
-1,-2,5,28,5,11,0x570,12
-1,-2,5,-,-,-,-,-1
-1,-2,5,-,-,-,-,-1
-1,-2,5,-,-,-,-,-1
,,,,,,,,,,,,,
-1,-2,6,29,0,15,0x000,29
-1,-2,6,29,0,14,0x003,32
-1,-2,6,29,0,13,0x006,35
-1,-2,6,29,0,12,0x01C,38
-1,-2,6,29,0,11,0x070,41
-1,-2,6,-,-,-,-,-1
-1,-2,6,-,-,-,-,-1
-1,-2,6,-,-,-,-,-1
-1,-2,6,30,1,15,0x100,30
-1,-2,6,30,1,14,0x103,33
-1,-2,6,30,1,13,0x106,36
-1,-2,6,30,1,12,0x11C,39
-1,-2,6,30,1,11,0x170,42
-1,-2,6,-,-,-,-,-1
-1,-2,6,-,-,-,-,-1
-1,-2,6,-,-,-,-,-1
-1,-2,6,31,2,15,0x200,31
-1,-2,6,31,2,14,0x203,34
-1,-2,6,31,2,13,0x206,37
-1,-2,6,31,2,12,0x21C,40
-1,-2,6,31,2,11,0x270,43
-1,-2,6,-,-,-,-,-1
-1,-2,6,-,-,-,-,-1
-1,-2,6,-,-,-,-,-1
-1,-2,6,32,3,15,0x300,0
-1,-2,6,32,3,14,0x303,3
-1,-2,6,32,3,13,0x306,6
-1,-2,6,32,3,12,0x31C,9
-1,-2,6,32,3,11,0x370,12
-1,-2,6,-,-,-,-,-1
-1,-2,6,-,-,-,-,-1
-1,-2,6,-,-,-,-,-1
-1,-2,6,33,4,15,0x400,1
-1,-2,6,33,4,14,0x403,4
-1,-2,6,33,4,13,0x406,7
-1,-2,6,33,4,12,0x41C,10
-1,-2,6,33,4,11,0x470,13
-1,-2,6,-,-,-,-,-1
-1,-2,6,-,-,-,-,-1
-1,-2,6,-,-,-,-,-1
-1,-2,6,34,5,15,0x500,2
-1,-2,6,34,5,14,0x503,5
-1,-2,6,34,5,13,0x506,8
-1,-2,6,34,5,12,0x51C,11
-1,-2,6,34,5,11,0x570,14
-1,-2,6,-,-,-,-,-1
-1,-2,6,-,-,-,-,-1
-1,-2,6,-,-,-,-,-1
,,,,,,,,,,,,,
-1,-2,7,35,0,15,0x000,31
-1,-2,7,35,0,14,0x003,34
-1,-2,7,35,0,13,0x006,37
-1,-2,7,35,0,12,0x01C,40
-1,-2,7,35,0,11,0x070,43
-1,-2,7,-,-,-,-,-1
-1,-2,7,-,-,-,-,-1
-1,-2,7,-,-,-,-,-1
-1,-2,7,36,1,15,0x100,30
-1,-2,7,36,1,14,0x103,33
-1,-2,7,36,1,13,0x106,36
-1,-2,7,36,1,12,0x11C,39
-1,-2,7,36,1,11,0x170,42
-1,-2,7,-,-,-,-,-1
-1,-2,7,-,-,-,-,-1
-1,-2,7,-,-,-,-,-1
-1,-2,7,37,2,15,0x200,29
-1,-2,7,37,2,14,0x203,32
-1,-2,7,37,2,13,0x206,35
-1,-2,7,37,2,12,0x21C,38
-1,-2,7,37,2,11,0x270,41
-1,-2,7,-,-,-,-,-1
-1,-2,7,-,-,-,-,-1
-1,-2,7,-,-,-,-,-1
-1,-2,7,38,3,15,0x300,2
-1,-2,7,38,3,14,0x303,5
-1,-2,7,38,3,13,0x306,8
-1,-2,7,38,3,12,0x31C,11
-1,-2,7,38,3,11,0x370,14
-1,-2,7,-,-,-,-,-1
-1,-2,7,-,-,-,-,-1
-1,-2,7,-,-,-,-,-1
-1,-2,7,39,4,15,0x400,1
-1,-2,7,39,4,14,0x403,4
-1,-2,7,39,4,13,0x406,7
-1,-2,7,39,4,12,0x41C,10
-1,-2,7,39,4,11,0x470,13
-1,-2,7,-,-,-,-,-1
-1,-2,7,-,-,-,-,-1
-1,-2,7,-,-,-,-,-1
-1,-2,7,40,5,15,0x500,0
-1,-2,7,40,5,14,0x503,3
-1,-2,7,40,5,13,0x506,6
-1,-2,7,40,5,12,0x51C,9
-1,-2,7,40,5,11,0x570,12
-1,-2,7,-,-,-,-,-1
-1,-2,7,-,-,-,-,-1
-1,-2,7,-,-,-,-,-1
,,,,,,,,,,,,,
-1,-2,8,41,0,15,0x000,29
-1,-2,8,41,0,14,0x003,32
-1,-2,8,41,0,13,0x006,35
-1,-2,8,41,0,12,0x01C,38
-1,-2,8,41,0,11,0x070,41
-1,-2,8,-,-,-,-,-1
-1,-2,8,-,-,-,-,-1
-1,-2,8,-,-,-,-,-1
-1,-2,8,42,1,15,0x100,30
-1,-2,8,42,1,14,0x103,33
-1,-2,8,42,1,13,0x106,36
-1,-2,8,42,1,12,0x11C,39
-1,-2,8,42,1,11,0x170,42
-1,-2,8,-,-,-,-,-1
-1,-2,8,-,-,-,-,-1
-1,-2,8,-,-,-,-,-1
-1,-2,8,43,2,15,0x200,31
-1,-2,8,43,2,14,0x203,34
-1,-2,8,43,2,13,0x206,37
-1,-2,8,43,2,12,0x21C,40
-1,-2,8,43,2,11,0x270,43
-1,-2,8,-,-,-,-,-1
-1,-2,8,-,-,-,-,-1
-1,-2,8,-,-,-,-,-1
-1,-2,8,44,3,15,0x300,0
-1,-2,8,44,3,14,0x303,3
-1,-2,8,44,3,13,0x306,6
-1,-2,8,44,3,12,0x31C,9
-1,-2,8,44,3,11,0x370,12
-1,-2,8,-,-,-,-,-1
-1,-2,8,-,-,-,-,-1
-1,-2,8,-,-,-,-,-1
-1,-2,8,45,4,15,0x400,1
-1,-2,8,45,4,14,0x403,4
-1,-2,8,45,4,13,0x406,7
-1,-2,8,45,4,12,0x41C,10
-1,-2,8,45,4,11,0x470,13
-1,-2,8,-,-,-,-,-1
-1,-2,8,-,-,-,-,-1
-1,-2,8,-,-,-,-,-1
-1,-2,8,46,5,15,0x500,2
-1,-2,8,46,5,14,0x503,5
-1,-2,8,46,5,13,0x506,8
-1,-2,8,46,5,12,0x51C,11
-1,-2,8,46,5,11,0x570,14
-1,-2,8,-,-,-,-,-1
-1,-2,8,-,-,-,-,-1
-1,-2,8,-,-,-,-,-1
,,,,,,,,,,,,,
-1,-2,9,47,0,15,0x000,31
-1,-2,9,47,0,14,0x003,34
-1,-2,9,47,0,13,0x006,37
-1,-2,9,47,0,12,0x01C,40
-1,-2,9,47,0,11,0x070,43
-1,-2,9,-,-,-,-,-1
-1,-2,9,-,-,-,-,-1
-1,-2,9,-,-,-,-,-1
-1,-2,9,48,1,15,0x100,30
-1,-2,9,48,1,14,0x103,33
-1,-2,9,48,1,13,0x106,36
-1,-2,9,48,1,12,0x11C,39
-1,-2,9,48,1,11,0x170,42
-1,-2,9,-,-,-,-,-1
-1,-2,9,-,-,-,-,-1
-1,-2,9,-,-,-,-,-1
-1,-2,9,49,2,15,0x200,29
-1,-2,9,49,2,14,0x203,32
-1,-2,9,49,2,13,0x206,35
-1,-2,9,49,2,12,0x21C,38
-1,-2,9,49,2,11,0x270,41
-1,-2,9,-,-,-,-,-1
-1,-2,9,-,-,-,-,-1
-1,-2,9,-,-,-,-,-1
-1,-2,9,50,3,15,0x300,2
-1,-2,9,50,3,14,0x303,5
-1,-2,9,50,3,13,0x306,8
-1,-2,9,50,3,12,0x31C,11
-1,-2,9,50,3,11,0x370,14
-1,-2,9,-,-,-,-,-1
-1,-2,9,-,-,-,-,-1
-1,-2,9,-,-,-,-,-1
-1,-2,9,51,4,15,0x400,1
-1,-2,9,51,4,14,0x403,4
-1,-2,9,51,4,13,0x406,7
-1,-2,9,51,4,12,0x41C,10
-1,-2,9,51,4,11,0x470,13
-1,-2,9,-,-,-,-,-1
-1,-2,9,-,-,-,-,-1
-1,-2,9,-,-,-,-,-1
-1,-2,9,52,5,15,0x500,0
-1,-2,9,52,5,14,0x503,3
-1,-2,9,52,5,13,0x506,6
-1,-2,9,52,5,12,0x51C,9
-1,-2,9,52,5,11,0x570,12
-1,-2,9,-,-,-,-,-1
-1,-2,9,-,-,-,-,-1
-1,-2,9,-,-,-,-,-1
,,,,,,,,,,,,,
-1,-2,10,53,0,15,0x000,29
-1,-2,10,53,0,14,0x003,32
-1,-2,10,53,0,13,0x006,35
-1,-2,10,53,0,12,0x01C,38
-1,-2,10,53,0,11,0x070,41
-1,-2,10,-,-,-,-,-1
-1,-2,10,-,-,-,-,-1
-1,-2,10,-,-,-,-,-1
-1,-2,10,54,1,15,0x100,30
-1,-2,10,54,1,14,0x103,33
-1,-2,10,54,1,13,0x106,36
-1,-2,10,54,1,12,0x11C,39
-1,-2,10,54,1,11,0x170,42
-1,-2,10,-,-,-,-,-1
-1,-2,10,-,-,-,-,-1
-1,-2,10,-,-,-,-,-1
-1,-2,10,55,2,15,0x200,31
-1,-2,10,55,2,14,0x203,34
-1,-2,10,55,2,13,0x206,37
-1,-2,10,55,2,12,0x21C,40
-1,-2,10,55,2,11,0x270,43
-1,-2,10,-,-,-,-,-1
-1,-2,10,-,-,-,-,-1
-1,-2,10,-,-,-,-,-1
-1,-2,10,56,3,15,0x300,0
-1,-2,10,56,3,14,0x303,3
-1,-2,10,56,3,13,0x306,6
-1,-2,10,56,3,12,0x31C,9
-1,-2,10,56,3,11,0x370,12
-1,-2,10,-,-,-,-,-1
-1,-2,10,-,-,-,-,-1
-1,-2,10,-,-,-,-,-1
-1,-2,10,57,4,15,0x400,1
-1,-2,10,57,4,14,0x403,4
-1,-2,10,57,4,13,0x406,7
-1,-2,10,57,4,12,0x41C,10
-1,-2,10,57,4,11,0x470,13
-1,-2,10,-,-,-,-,-1
-1,-2,10,-,-,-,-,-1
-1,-2,10,-,-,-,-,-1
-1,-2,10,58,5,15,0x500,2
-1,-2,10,58,5,14,0x503,5
-1,-2,10,58,5,13,0x506,8
-1,-2,10,58,5,12,0x51C,11
-1,-2,10,58,5,11,0x570,14
